nama_produk,harga,harga_angka,harga_asli,diskon_persen,rating,terjual,nama_toko,kota,tier_toko,badge,kategori,gratis_ongkir,cashback,is_iklan,url,image_url
LAPTOP ACER ASPIRE LITE 15 AL15 AMD RYZEN 5 8640HS 8GB 512GB SSD W11+OHS+M365B 15.0FHD IPS -61P.R3QE,Rp10.459.000,10459000,Rp17.999.000,0,5.0,,royalltech,Jakarta Utara,2,Jakarta Utara,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/royalltech/laptop-acer-aspire-lite-15-al15-amd-ryzen-5-8640hs-8gb-512gb-ssd-w11-ohs-m365b-15-0fhd-ips-61p-r3qe-1734417912050517495?extParam=ivf%3Dfalse%26keyword%3Dlaptop+acer%26search_id%3D202606170409485737C6EC2E071636E3W2%26src%3Dsearch,https://p19-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/5d0b5971d9234c0bacf7f83f4a7d53d1~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781672989&x-signature=tkqBhbn1yfXHqqKQhDTPiBR8rio%3D&x-signature-webp=rwCRd9xcAoEVqj6kyJeFvUX4RI8%3D
"Acer Laptop AL15-42P-R1GJ AMD RYZEN 7-7730U 16GB 512 GB 15.6 "" IPS FHD W11",Rp11.439.000,11439000,,0,5.0,,MyHartono Tech Zone,Jakarta Selatan,2,Jakarta Selatan,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/techzone/acer-laptop-al15-42p-r1gj-amd-ryzen-7-7730u-16gb-512-gb-15-6-ips-fhd-w11-1732763023659992323?extParam=ivf%3Dfalse%26keyword%3Dlaptop+acer%26search_id%3D202606170409485737C6EC2E071636E3W2%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/4eff42d0841d48c485fc9390cca65b7a~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781672989&x-signature=kuijpXFuJ%2FEIHtFxgRCK90LjuQs%3D&x-signature-webp=h8icZvkiJJ6s4UKB4bKY42VVdRA%3D
"ACER SWIFT LITE 14 AIR EDITION SFL14-41M-R5D2 RYZEN 5 240U 16GB 512GB SSD 14"" WUXGA IPS W11H OH24+1Y M365 PURE SILVER [NX.D8USN.001] Laptop Super Ringan, Tipis",Rp12.499.000,12499000,Rp26.519.000,0,5.0,,Acer Official Authorized Store,Jakarta Pusat,2,Jakarta Pusat,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/acerid/acer-swift-lite-14-air-edition-sfl14-41m-r5d2-ryzen-5-240u-16gb-512gb-ssd-14-wuxga-ips-w11h-oh24-1y-m365-pure-silver-nx-d8usn-001-laptop-super-ringan-tipis-1733766789373592597?extParam=ivf%3Dfalse%26keyword%3Dlaptop+acer%26search_id%3D202606170409485737C6EC2E071636E3W2%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/f6172214a8094bf0a8dd7f7d3afbbe49~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781672989&x-signature=xDKSCG9gqfZ0Ndfziw50e9SFuxA%3D&x-signature-webp=XHR7ZSjAKmKvLU2t50Yzi6n2aIM%3D
Laptop ACER Aspire Lite 15 AL15 Ryzen 7 8840HS RAM 16GB SSD 512GB W11+OHS+M365B 15.6”FHD IPS Laptop Kencang Tipis Terlaris,Rp13.429.000,13429000,Rp15.999.000,0,5.0,,royalltech,Jakarta Utara,2,Jakarta Utara,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/royalltech/laptop-acer-aspire-lite-15-al15-ryzen-7-8840hs-ram-16gb-ssd-512gb-w11-ohs-m365b-15-6-fhd-ips-laptop-kencang-tipis-terlaris-1734417841567925751?extParam=ivf%3Dfalse%26keyword%3Dlaptop+acer%26search_id%3D202606170409485737C6EC2E071636E3W2%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/b956a6b1a5a5464b92d4da3ba40d9956~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781672989&x-signature=vRRsQpY6ZJgQpm9SzlqzdiT6R%2B8%3D&x-signature-webp=P%2Bq2FYJaynkl9PQswBCgdsh9dgk%3D
ACER ASPIRE 7 PRO A715 GAMING LAPTOP i5 13420H 16GB 512GB RTX3050 6GB 15.6FHD IPS 144HZ W11 OHS,Rp14.059.000,14059000,Rp27.999.000,0,5.0,,Gaming Laptop ID,Jakarta Utara,2,Jakarta Utara,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/gaminglaptopid/acer-aspire-7-pro-a715-gaming-laptop-i5-13420h-16gb-512gb-rtx3050-6gb-15-6fhd-ips-144hz-w11-ohs-1734396858723632747?extParam=ivf%3Dfalse%26keyword%3Dlaptop+acer%26search_id%3D202606170409485737C6EC2E071636E3W2%26src%3Dsearch%26whid%3D13856,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/289876cdd2f74fd78baf1fc587a78774~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781672989&x-signature=RJ0UqHBalTE8BaxmOcrBGuxPoLo%3D&x-signature-webp=QPKUQSrLt1wlo31imFdXwDxczDg%3D
LAPTOP ACER ASPIRE GO 14 AI INTEL ULTRA 5 125H 16GB 512GB SSD W11+OHS+M365B 14.0WUXGA 100RGB IPS - GARANSI RESMI,Rp12.989.000,12989000,Rp17.999.000,0,5.0,,royalltech,Jakarta Utara,2,Jakarta Utara,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/royalltech/laptop-acer-aspire-go-14-ai-intel-ultra-5-125h-16gb-512gb-ssd-w11-ohs-m365b-14-0wuxga-100rgb-ips-garansi-resmi-1731775291911079415?extParam=ivf%3Dfalse%26keyword%3Dlaptop+acer%26search_id%3D202606170409485737C6EC2E071636E3W2%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/3e6ec997578246aeb44ef1ebe5174997~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781672989&x-signature=toQF0daMA7Pu5ibmgwz1Zc72tiE%3D&x-signature-webp=n103H3NQYGXdWWJDXy%2FZ7dPPNBk%3D
"[LAPTOP] Acer Aspire GO 14 AI Intel Ultra 7 155H Ram 16GB 512GB Windows 11 + Office 14.0"" WUXGA 100RGB IPS GARANSI RESMI",Rp13.319.000,13319000,,0,5.0,,Agres ID Jakarta Utara,Jakarta Pusat,2,Jakarta Pusat,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/agresidjakut/acer-aspire-go-14-ai-intel-ultra-7-155h-ram-16gb-512gb-windows-11-office-14-0-wuxga-100rgb-ips-1732150289051059794?extParam=ivf%3Dfalse%26keyword%3Dlaptop+acer%26search_id%3D202606170409485737C6EC2E071636E3W2%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/fe297ee4ec1b423aab3a878aa35ac1ac~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781672989&x-signature=XYYhCYKTc9bTpNYmxI569ZJx7WE%3D&x-signature-webp=dQfo5fOSJzI4DMdni2hEs2hckrw%3D
ACER ASPIRE GO 14 AI ULTRA 5 125H 16GB 512GB W11+OHS+M365B 14.0 WUXGA 100RGB IPS GRY -71M.5471 LAPTOP DESAIN KANTOR PELAJAR RINGAN GARANSI RESMI,Rp12.989.000,12989000,,0,5.0,,Agres ID Electronics,Depok,2,Depok,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/agres-id-electronics/acer-aspire-go-14-ai-ultra-5-125h-16gb-512gb-w11-ohs-m365b-14-0-wuxga-100rgb-ips-gry-71m-5471-laptop-desain-kantor-pelajar-ringan-garansi-resmi-1731796264716634008?extParam=ivf%3Dfalse%26keyword%3Dlaptop+acer%26search_id%3D202606170409485737C6EC2E071636E3W2%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/03e477c118f44d85b80e0187bc2e713e~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781672989&x-signature=Tg9bo9weR4FB10FwWh5OqqtHqUY%3D&x-signature-webp=ylOeETMSmD7wxniWer78PPeTNT0%3D
LAPTOP ACER ASPIRE GO 14 AG14 CORE I5 120U RAM 8GB SSD 1TB W1+OHS+M365B 14.0 WUXGA IPS SLV -72P.51TB/16,Rp10.199.000,10199000,Rp15.999.000,0,5.0,,LAPTOP SHOP ID,Jakarta Utara,2,Jakarta Utara,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/laptopcreatorid/laptop-acer-aspire-go-14-core-i5-120u-ram-16gb-ssd-1tb-w1-ohs-m365b-14-0-wuxga-ips-slv-72p-51tb-16-1732969762733065234?extParam=ivf%3Dfalse%26keyword%3Dlaptop+acer%26search_id%3D202606170409485737C6EC2E071636E3W2%26src%3Dsearch,https://p19-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/6374494430364f44842413b8fc074c99~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781672989&x-signature=dGmOfQSJ2LkC721INkJ8k1bJX9c%3D&x-signature-webp=i9yCqVYRcwlcOAVK0j6Gxd1%2F9Mg%3D
"Laptop Acer Aspire Go 14 AI Intel Core Ultra 5 125H RAM 16 / 32 GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA 100Srgb IPS",Rp12.989.000,12989000,Rp16.000.000,0,5.0,,Gamer ID Surabaya,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/gameridsurabaya/laptop-acer-aspire-go-14-ai-intel-core-ultra-5-125h-ram-16-32-gb-ssd-512-gb-windows-11-office-home-student-14-wuxga-100srgb-ips-1732115795389679571?extParam=ivf%3Dfalse%26keyword%3Dlaptop+acer%26search_id%3D202606170409485737C6EC2E071636E3W2%26src%3Dsearch,https://p19-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/f7f39d38b164465b88d521cbfbd4b45b~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781672989&x-signature=Jd5zjcMqm9O4KqbIE98iaZtzcMU%3D&x-signature-webp=w%2FAN4gsYwYrxKiuIQw%2FqDMTe1xQ%3D
