nama_produk,harga,harga_angka,harga_asli,diskon_persen,rating,terjual,nama_toko,kota,tier_toko,badge,kategori,gratis_ongkir,cashback,is_iklan,url,image_url
"ADVAN Laptop Workplus AI Ryzen 7 255 8GB/512GB 14"" inch FHD+ 16:10 IPS Dual Cooling System Laptop Notebook Free Windows 11 Garansi Resmi 2 Tahun",Rp10.599.000,10599000,Rp15.999.000,0,5.0,,ADVAN NOTEBOOK,Kab. Tangerang,2,Kab. Tangerang,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/advanofficialitstore/advan-laptop-workplus-ai-ryzen-7-255-8gb-512gb-14-inch-fhd-16-10-ips-dual-cooling-system-laptop-notebook-free-windows-11-garansi-resmi-2-tahun-1734544925582919478?extParam=ivf%3Dtrue%26keyword%3Dlaptop+advan%26search_id%3D202606170421459DE6D14FFF98063D1468%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/e5399326ec2a4ae8b065d80fd99b5383~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673706&x-signature=42LPHIYxgxguPpv0ZfujZhTyTiY%3D&x-signature-webp=nw7si9lZCLV%2B7LH%2F9TV12kBq%2FZ0%3D
"Advan Laptop W5-85S Intel Core i5-1235U RAM 8GB 512GB SSD 14""FHD Win 11",Rp10.999.000,10999000,,0,5.0,,Distri Laptop,Jakarta Pusat,2,Jakarta Pusat,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/distri-laptop/advan-pixwar-x-transformer-amd-ryzen-7-16gb-ssd-512gb-15-6-fhd-1731040185171675049?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202606170421459DE6D14FFF98063D1468%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/f633906412724206a73ee514605d446e~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673706&x-signature=phwT3qO%2BcVsnYYqGOKfASXjMnjk%3D&x-signature-webp=QKrgNUOOn4UDx2onzALisKIQIMM%3D
"LAPTOP ADVAN  S7 110S - i7 1255U  16GB 1TB 14""FHD WIN11 HOME",Rp13.589.000,13589000,,0,4.8,,Digitalzone Tangcity,Tangerang,2,Tangerang,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/digitalzonetangcity/laptop-advan-s7-110s-i7-1255u-16gb-1tb-14-fhd-win11-home-1730916746764977203?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202606170421459DE6D14FFF98063D1468%26src%3Dsearch,https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/05e45b86c4824fd693ed59190af31402~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=97278606&x-expires=1781673706&x-signature=o1uVZN1ASBrJMXIT0%2BwfC64D3HI%3D&x-signature-webp=xaIZhUHHKoIN%2B2PRBVhv4KZ6lDA%3D
"ADVAN LAPTOP W5-15S  Intel Core i5-1235U 16GB 512GB SSD 14""FHD (1920x1080)  Camera  WIFI + Bluetooth  WIN 11 HOME  Warranty 1 Year (1/1/0)  TKDN + BMP 40,04 %",Rp11.400.000,11400000,,0,,,Naga Mas Computer Poins,Jakarta Selatan,2,Jakarta Selatan,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/nagamaspoins/advan-laptop-w5-15s-intel-core-i5-1235u-16gb-512gb-ssd-14-fhd-1920x1080-camera-wifi-bluetooth-win-11-home-warranty-1-year-1-1-0-tkdn-bmp-40-04-1731137830490179260?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202606170421459DE6D14FFF98063D1468%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/e5af761879bc4ea5a5e2b8a78867ad4a~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673706&x-signature=yo3D%2F%2BYHHhIZ1ywKcDSPn2wviZ0%3D&x-signature-webp=5%2BMHORt1l9%2FrglkxjZPumWfl%2FaE%3D
"ADVAN Laptop S7-110S TKDN dengan Intel Core i7-1255U, 16GB RAM, 1TB SSD, Intel Iris Xe Graphics, Layar 14"" FHD, Windows 11 Home - Garansi resmi",Rp13.450.000,13450000,,0,,,EXO GLOBAL,Makassar,2,Makassar,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/exoglobal/advan-laptop-s7-110s-tkdn-dengan-intel-core-i7-1255u-16gb-ram-1tb-ssd-intel-iris-xe-graphics-layar-14-fhd-windows-11-home-garansi-resmi-1732710295260923740?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202606170421459DE6D14FFF98063D1468%26src%3Dsearch%26whid%3D5915931,https://p19-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/51f48d95c138434896ab4b15bf221b9d~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673706&x-signature=VpRWJE5sdMqrI77qbga3FcdNrJU%3D&x-signature-webp=jzh%2BEohx8mxHli1bj0%2F93uLN8ec%3D
Advan Laptop W5-15S Intel Core i5-1235U 16GB RAM 512GB SSD 14 Inch Windows 11 Home TKDN - Garansi resmi,Rp10.106.000,10106000,,0,,,EXO GLOBAL,Makassar,2,Makassar,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/exoglobal/advan-laptop-w5-15s-intel-core-i5-1235u-16gb-ram-512gb-ssd-14-inch-windows-11-home-tkdn-garansi-resmi-1732710360266934108?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202606170421459DE6D14FFF98063D1468%26src%3Dsearch%26whid%3D5915931,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/4cdb9714820545a69a357fb160e7d1d1~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673706&x-signature=5K4QCtcCxi8PI7FMIFOgMdl%2Ba3w%3D&x-signature-webp=usNHFobzREQiaUBcr4NVbyfNe8M%3D
"Advan LAPTOP W7-85S Intel Core i7-1280p 8GB RAM 512GB HDD 14"" Full HD IPS Layar Windows 11 Home TKDN Garansi resmi",Rp12.538.000,12538000,,0,,,EXO GLOBAL,Makassar,2,Makassar,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/exoglobal/advan-laptop-w7-85s-intel-core-i7-1280p-8gb-ram-512gb-hdd-14-full-hd-ips-layar-windows-11-home-tkdn-garansi-resmi-1732710473553577820?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202606170421459DE6D14FFF98063D1468%26src%3Dsearch%26whid%3D5915931,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/81528ec7aa9d465da0b0786c9c4c9bf7~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673706&x-signature=9wpx7ttA7jgOTdcRjuz91wsGjTE%3D&x-signature-webp=n4Z3hw2P863lqkVqdk1zxvCeQz0%3D
ADVAN WORK PLUS AI AMD RYZEN 7-255 14'' RAM 8GB 512GB SSD Windows 11 Garansi resmi Workplus 7 255 rekomendasi laptop ai boost technology multitasking kuliah dan kerja,Rp11.989.000,11989000,,0,,,Calosastore,Malang,2,Malang,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/calosastore/advan-work-plus-ai-amd-ryzen-7-255-14-ram-8gb-512gb-ssd-windows-11-garansi-resmi-workplus-7-255-rekomendasi-laptop-ai-boost-technology-multitasking-kuliah-dan-kerja-1735473227162420868?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202606170421459DE6D14FFF98063D1468%26src%3Dsearch%26whid%3D8607532,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/5bbf029a65cf4907af8e4cf1cbe4e30b~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673706&x-signature=e%2FAIeA9kAZEPgbTLI7oX4JJtZas%3D&x-signature-webp=dYt2enkalW%2F9%2Fe7xU%2F8PsvewllU%3D
LAPTOP ADVAN 2IN1 EVO-X I3 1215U 12GB 512GB W11 16.0 2.5K TOUCHSCREEN,Rp10.999.000,10999000,,0,,,GAMER.ID,Jakarta Utara,2,Jakarta Utara,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/gameridos/laptop-advan-2in1-evo-x-i3-1215u-12gb-512gb-w11-16-0-2-5k-touchscreen-1732973432321771105?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202606170421459DE6D14FFF98063D1468%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/a3a003cc88c5418caaf29ed46a4330d8~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673706&x-signature=tVUhy%2FNkpxCM6M8Bfy8jH%2FyZj5A%3D&x-signature-webp=RhPkRxV6wjQ9STwcb85UC3W2Qok%3D
"LAPTOP ADVAN 360 STYLUS PRO 2IN1 TOUCH CORE i3-1215 8GB 256GB SSD W11 14.0"" FHD IPS",Rp14.298.900,14298900,,0,,,ROGS STORE,Jakarta Utara,2,Jakarta Utara,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/rogsstoreid/laptop-advan-360-stylus-pro-2in1-touch-core-i3-1215-8gb-256gb-ssd-w11-14-0-fhd-ips-1730900467188401484?extParam=ivf%3Dfalse%26keyword%3Dlaptop+advan%26search_id%3D202606170421459DE6D14FFF98063D1468%26src%3Dsearch,https://p19-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2025/2/22/db37ed10-2d5f-45f9-a89f-0b3d5928e6a5.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673706&x-signature=QaQJ1erHk67yNzB4Sel8mTursk8%3D&x-signature-webp=NAObE%2F44B8anEQpeoHtwLV0fkD4%3D
