nama_produk,harga,harga_angka,harga_asli,diskon_persen,rating,terjual,nama_toko,kota,tier_toko,badge,kategori,gratis_ongkir,cashback,is_iklan,url,image_url
"Asus Laptop A1405VA-VIPS5151M Intel Core I5-13420H 8+8GB 512GB 14"" W11",Rp11.979.000,11979000,,0,5.0,,MyHartono Tech Zone,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/techzone/asus-laptop-a1405va-vips5151m-intel-core-i5-13420h-8-8gb-512gb-14-w11-1732763068352922883?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D202606170412504734BA6F3DE83D1E9XP1%26src%3Dsearch%26whid%3D14188251,https://p19-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/57fc82875d3742ba9a0c6895646a3e13~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673170&x-signature=6AmVnJJRmsJFVNrcqq83%2BjO5Scs%3D&x-signature-webp=N%2BlqtMseDtIJ%2BggURVW26gqHbvw%3D
"Asus Laptop A1404VAP-VIPS5151M INTEL CORE 5-120U 2x8GB 512GB 14"" FHD(1920x1080) W11",Rp11.979.000,11979000,,0,5.0,,MyHartono Tech Zone,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/techzone/asus-laptop-a1404vap-vips5151m-intel-core-5-120u-2x8gb-512gb-14-fhd-1920x1080-w11-1733463023844754691?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D202606170412504734BA6F3DE83D1E9XP1%26src%3Dsearch%26whid%3D14163420,https://p19-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/112cfa7d26d144b5b4b7a3572cc8eb8a~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673170&x-signature=02I0HWMvt98tKTRDiwtuwTnGjRw%3D&x-signature-webp=WkOvQiybjpWjW6FqoKjhaNvFxgY%3D
"Asus Laptop A1405VA-VIPS5152M Intel Core I5-13420H 8+8GB 512GB 14"" W11",Rp11.979.000,11979000,,0,5.0,,MyHartono Tech Zone,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/techzone/asus-laptop-a1405va-vips5152m-intel-core-i5-13420h-8-8gb-512gb-14-w11-1732763068267398403?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D202606170412504734BA6F3DE83D1E9XP1%26src%3Dsearch%26whid%3D14163420,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/cfcf22db716c487081a6491abe81619d~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673170&x-signature=5ljYKi4jk3hQAT0s9sjBuLbxws4%3D&x-signature-webp=t%2FofKk4MqY5JBQnKwqpXoRJQlxo%3D
Laptop ASUS Vivobook F1504VAP Intel Core i5-120U 16GB 512GB SSD 15.6”FHD IPS Windows 11 – F1504ZA / F1502ZA,Rp11.199.000,11199000,Rp13.999.000,0,4.6,,royalltech,Jakarta Utara,2,Jakarta Utara,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/royalltech/laptop-asus-vivobook-f1504vap-intel-core-i5-120u-i5-1235u-16gb-512gb-ssd-15-6-fhd-ips-windows-11-f1504za-f1502za-1730412882049598967-1734913183835784695?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D202606170412504734BA6F3DE83D1E9XP1%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/7eb40e5d1ae64355a23d293194096502~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673170&x-signature=%2FYYHPdBhq38D%2B0qbj3fLIVg3VB8%3D&x-signature-webp=R5%2BPh9KRRMyqbf%2Bh3GjytYbdGkk%3D
Laptop TKDN ASUS ExpertBook BG1409CVA-S67850W i7 1355U 8GB 512GB W11 14FHD - ASUS EXPERTBOOK B1 BG1409CVA-S67850W - Asus BG1409CVA i7,Rp14.499.000,14499000,,0,5.0,,ANDILES,Jakarta Pusat,2,Jakarta Pusat,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/andiles/laptop-tkdn-asus-expertbook-bg1409cva-s67850w-i7-1355u-8gb-512gb-w11-14fhd-asus-expertbook-b1-bg1409cva-s67850w-asus-bg1409cva-i7-1733291033929221634?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D202606170412504734BA6F3DE83D1E9XP1%26src%3Dsearch,https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/db29ce6038f149e08da3509f03eff7b3~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=97278606&x-expires=1781673170&x-signature=m6Y%2FmW%2Bu5K8uYwnzpCX0jJNf7PQ%3D&x-signature-webp=s6aekFZgyUYlDiSbLhwNY%2BgHYOw%3D
Laptop Asus Vivobook 14 A1404VAP Intel Core I7 150U RAM 16GB SSD 1TB Win 11+OHS 14.0FHD IPS Garansi Resmi,Rp13.679.000,13679000,,0,5.0,,Herlinacom,Depok,2,Depok,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/herlinacom/laptop-asus-vivobook-14-a1404vap-intel-core-i7-150u-ram-16gb-ssd-1tb-win-11-ohs-14-0fhd-ips-garansi-resmi-1733620005736383886-1735961438475945358?extParam=ivf%3Dtrue%26keyword%3Dlaptop+asus%26search_id%3D202606170412504734BA6F3DE83D1E9XP1%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/1de0412802c64cc29f06d2c9c67a871e~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673170&x-signature=18Qak8TJBZvG4xi%2BWuGZ9DPEwXw%3D&x-signature-webp=rnbJZmgBc8Kkko566HX17MdKRGk%3D
LAPTOP ASUS TUF A15 FA506NCG RYZEN 7 7445HS RTX3050 4GB/ RAM 16GB SSD 512GB WINDOWS 11 15.6 INC FULL HD IPS,Rp13.729.000,13729000,,0,5.0,,PUSAT GAMING LAPTOP,Bekasi,2,Bekasi,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/pusatgaminglaptop/laptop-asus-tuf-a15-fa506ncg-ryzen-7-7445hs-rtx3050-4gb-ram-16gb-ssd-512gb-windows-11-15-6-inc-full-hd-ips-1732372214747203257?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D202606170412504734BA6F3DE83D1E9XP1%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/925790e929874fd4bd45e6430ed462f5~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673170&x-signature=3ktBHwtDw5COEGmvqQ4ZGrP7oAk%3D&x-signature-webp=7cBBERoFVCp%2Fd8uwVds6mEEhYgE%3D
(PROMO EXCLUSIVE CREATOR) - Price Laptop Asus Vivobook 14 M1405YA Ryzen 7 7730U 512GB SSD 16GB IPS Win11,Rp11.947.000,11947000,Rp14.949.000,0,5.0,,TeknoTrend ID,Jakarta Pusat,2,Jakarta Pusat,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/teknotrend/exclusive-affiliate-price-laptop-asus-vivobook-14-m1405ya-ryzen-7-7730u-512gb-ssd-16gb-ips-win11-1732952819548850114?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D202606170412504734BA6F3DE83D1E9XP1%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/be43ff3ddc264b0ab6945eb2d4b3066d~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673170&x-signature=FQUmgJi0YNgPr7cu6Po0h4%2FrYGM%3D&x-signature-webp=R34n0ArB0znQUdmYX3TKwO3J5UY%3D
"LAPTOP ASUS A1404VA/X1404VA Intel Core i5-1334U 8GB/512GB SSD 14.0"" Full HD Intel Iris Xe Windows 11",Rp10.249.000,10249000,,0,5.0,,ZX COMPUTER,Jakarta Pusat,2,Jakarta Pusat,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/zxcomputer/laptop-asus-a1404va-x1404va-intel-core-i5-1334u-8gb-512gb-ssd-14-0-full-hd-intel-iris-xe-windows-11-1731241390106314172?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D202606170412504734BA6F3DE83D1E9XP1%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/24fb429336ec4c2dbf96ac7333158f4d~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673170&x-signature=BtU1d9TFJoDj4tt4WcOXtwLw2ic%3D&x-signature-webp=y8FubJj%2FTIkfeoNCIOs%2FlSONlAE%3D
Laptop TKDN ASUS ExpertBook BG1409CVA-S67850W i7 1355U 8GB 512GB W11 14FHD - ASUS EXPERTBOOK B1 BG1409CVA-S67850W - Asus BG1409CVA i7,Rp14.499.000,14499000,,0,5.0,,House Of IT,Jakarta Pusat,2,Jakarta Pusat,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/houseofit/laptop-tkdn-asus-expertbook-bg1409cva-s67850w-i7-1355u-8gb-512gb-w11-14fhd-asus-expertbook-b1-bg1409cva-s67850w-asus-bg1409cva-i7-1734212279282402785?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D202606170412504734BA6F3DE83D1E9XP1%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/f16863fc056643bba44a09e068c556c9~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673170&x-signature=Glui%2BoeAee4mZQSYoSIL0VnYnZM%3D&x-signature-webp=82dIAg3OTdEtu%2FLTyd8lZ6zKbHE%3D
