nama_produk,harga,harga_angka,harga_asli,diskon_persen,rating,terjual,nama_toko,kota,tier_toko,badge,kategori,gratis_ongkir,cashback,is_iklan,url,image_url
LAPTOP AXIOO HYPE-R 5 TOUCH INTEL CORE I5 1235 24GB 512GB SSD WINDOWS 11 14.0FHD IPS (1KG) - LAPTOP TOUCH SCREEN,Rp11.479.000,11479000,Rp22.999.000,0,5.0,,royalltech,Jakarta Utara,2,Jakarta Utara,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/royalltech/laptop-axioo-hype-r-5-touch-intel-core-i5-1235-24gb-512gb-ssd-windows-11-14-0fhd-ips-1kg-laptop-touch-screen-1734345828648650231?extParam=ivf%3Dfalse%26keyword%3Dlaptop+axioo%26search_id%3D2026061704212501386BD6D8E09115BJMY%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/0de20bc70eba4a06b970caa4ee446bf6~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673685&x-signature=2S%2FwIjwtej6HzhduZVyklLeN0JM%3D&x-signature-webp=mQ3PZ5Ac8GI%2F5TUOCn3Bv7qTqdc%3D
LAPTOP AXIOO HYPE 7 AMD X9 RYZEN 7 8745HS 32GB 512GB SSD W11 14.0 FHD IPS Backlit HDMI,Rp11.519.000,11519000,Rp16.999.000,0,5.0,,royalltech,Jakarta Utara,2,Jakarta Utara,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/royalltech/laptop-axioo-hype-7-amd-x9-ryzen-7-8745hs-32gb-512gb-ssd-w11-14-0-fhd-ips-backlit-hdmi-1734345334313092599?extParam=ivf%3Dfalse%26keyword%3Dlaptop+axioo%26search_id%3D2026061704212501386BD6D8E09115BJMY%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2024/1/31/3920bb72-680b-48ab-bd08-e8fe2d571c1d.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673685&x-signature=h1kqEI35eMsyGRpv0ctbH7hXcz4%3D&x-signature-webp=2I5rONiAp5tJeQeZipNgUY4DbDk%3D
"LAPTOP AXIOO HYPE 5 AMD X6 RYZEN 5 6600H 16GB DDR5 512GB W11 14.0"" FHD",Rp10.199.000,10199000,Rp15.398.900,0,5.0,,ROGS STORE,Jakarta Utara,2,Jakarta Utara,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/rogsstoreid/laptop-axioo-hype-5-amd-x6-ryzen-5-6600h-16gb-ddr5-512gb-w11-14-0-fhd-non-bundle-w11-home-f4e4b?extParam=ivf%3Dfalse%26keyword%3Dlaptop+axioo%26search_id%3D2026061704212501386BD6D8E09115BJMY%26src%3Dsearch,https://p19-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/edfb9e02e16741a083d36bb9c0134bc8~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673685&x-signature=uqhprg5kl4MFDZOkgSUeuiB1ejc%3D&x-signature-webp=OSBJ%2B1N1aYkE8uDrZ4vVGRIMJGU%3D
Laptop AXIOO PONGO 725 V2 I7 13620H RTX2050 4GB/ 16GB 512GB W11 15.6FHD 144HZ IPS 3Y BLK,Rp14.379.000,14379000,,0,5.0,,LEGEND.ELTRO.ID,Tangerang Selatan,2,Tangerang Selatan,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/legendeltro-id/laptop-axioo-pongo-725-v2-i7-13620h-rtx2050-4gb-16gb-512gb-w11-15-6fhd-144hz-ips-3y-blk-1732750416115500081?extParam=ivf%3Dfalse%26keyword%3Dlaptop+axioo%26search_id%3D2026061704212501386BD6D8E09115BJMY%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/9ab5aa29cd4645ada1d1e38501f97032~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673685&x-signature=qzLNH%2BiO%2BXys22TcWsCc8oohjRA%3D&x-signature-webp=uEApUgTWQqPQIrOW%2Ff5y4BLeIn4%3D
Axioo Pongo 725 V2 Laptop Intel Core i7-13620H RTX2050 4GB RAM 16GB SSD 512GB Windows 11 15.6 FHD IPS 144Hz Garansi Resmi 3 Tahun,Rp14.589.000,14589000,,0,5.0,,Depok Laptop,Depok,2,Depok,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/depoklaptop/axioo-pongo-725-i7-12650h-rtx2050-4gb-16gb-512gb-win-11-15-6-full-hd-1730447504897771445?extParam=ivf%3Dfalse%26keyword%3Dlaptop+axioo%26search_id%3D2026061704212501386BD6D8E09115BJMY%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/aeb9761dc77849a5b270f6c3595cb66e~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673685&x-signature=H%2Bi7sHFDbdvHSNe1BeUaTW25Jdg%3D&x-signature-webp=s5dw4AT1C%2BD3hiije4LeNvqlzEo%3D
LAPTOP AXIOO HYPE-R 5 OLED I5 1235 24GB 512GB DOS / WINDOWS 11 - 14.0FHD BLK (UNDER 1KG),Rp11.809.000,11809000,,0,5.0,,Techno Central,Bandung,2,Bandung,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/technocentral/laptop-axioo-hype-r-5-oled-i5-1235-24gb-512gb-dos-windows-11-14-0fhd-blk-under-1kg-1730865628033287811?extParam=ivf%3Dfalse%26keyword%3Dlaptop+axioo%26search_id%3D2026061704212501386BD6D8E09115BJMY%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2025/2/14/205081a7-c200-403e-b073-3a39c7a2ed1d.png~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673685&x-signature=MQodaH1XyL61j77BqziUn8fC86I%3D&x-signature-webp=KYjjVJM7lbh8pdvy75gPBXsRLX4%3D
Laptop Axioo HYPE-R 5 I5 1235 24GB 1TB SSD W11 14.0FHD (1KG),Rp10.759.000,10759000,,0,5.0,,GAMING DISTRIBUTOR ID,Jakarta Barat,2,Jakarta Barat,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/gamingdistributorid/laptop-axioo-hype-r5-r3-oled-i5-1235-i3-1215-24gb-512gb-12gb-256gb-w11-free-intsall-office-14-0fhd-under-1kg-1730674205232629358?extParam=ivf%3Dfalse%26keyword%3Dlaptop+axioo%26search_id%3D2026061704212501386BD6D8E09115BJMY%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/4b670aee3cb545d0a1ff36ef70b5c319~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673685&x-signature=9lK1qj8KUrjC%2FCpXOBk0BcVGnRY%3D&x-signature-webp=p7GSMMppDD%2BAeH%2FWluaiSBnLEFk%3D
"Laptop Axioo Pongo 735 Core i7-13620H RTX3050 16GB 512GB 15.6"" FHD",Rp13.184.000,13184000,Rp19.549.000,0,5.0,,TeknoTrend ID,Jakarta Pusat,2,Jakarta Pusat,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/teknotrend/laptop-axioo-pongo-735-core-i7-13620h-rtx3050-16gb-512gb-15-6-fhd-1730968740592453570?extParam=ivf%3Dtrue%26keyword%3Dlaptop+axioo%26search_id%3D2026061704212501386BD6D8E09115BJMY%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/c61c19c270104bb880bbc99e47c82b43~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673685&x-signature=JMGaLf4Of8ijQWnRp7BtyVm%2Btp0%3D&x-signature-webp=WQ3cDSL9eBVL3fVTVhPZ20V4zFk%3D
LAPTOP AXIOO PONGO 725 V2 I7 13620H RTX2050 4GB/ 16GB 512GB W11 15.6FHD 144HZ IPS 3Y BLK,Rp14.589.000,14589000,,0,5.0,,Techno Central,Bandung,2,Bandung,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/technocentral/axioo-pongo-725-i7-12650h-rtx2050-4gb-16gb-512gb-w11pro-15-6fhd-144hz-1735725635441428099?extParam=ivf%3Dfalse%26keyword%3Dlaptop+axioo%26search_id%3D2026061704212501386BD6D8E09115BJMY%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2024/1/25/2f0b437f-6513-4331-870e-29da27b5fb10.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673685&x-signature=cXico46S2fwtOCpewESz3vOOxa0%3D&x-signature-webp=br%2BmMRazAVlGirGHAgM4Sn%2BBYlQ%3D
"Axioo Laptop Hype 5 X3-5 AMD Ryzen 5-3500U 8 GB 256GB 14"" W11",Rp11.299.000,11299000,,0,5.0,,KangLaptop_NEW,Jakarta Selatan,2,Jakarta Selatan,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/kanglaptop/laptop-axioo-hype-5-amd-x3-ryzen-5-3500u-8gb-256gb-windows-11-1732813108503545673-1735171825434265417?extParam=ivf%3Dtrue%26keyword%3Dlaptop+axioo%26search_id%3D2026061704212501386BD6D8E09115BJMY%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/b5b90e78b6514ac7a4675c6dbdb72bf2~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673685&x-signature=bO7J6CIQX413IZATslTlVQ%2BZEr0%3D&x-signature-webp=CzNnFIQ%2Fv6He%2Bl8cLvJBTvjxTds%3D
