nama_produk,harga,harga_angka,harga_asli,diskon_persen,rating,terjual,nama_toko,kota,tier_toko,badge,kategori,gratis_ongkir,cashback,is_iklan,url,image_url
Laptop Dell Latitude 3320 [Core i7-1165G7-8GB-512GB-UMA-Windows 11 Pro-3 Years Warranty] DELL OFFICIAL,Rp15.000.000,15000000,,0,5.0,,Dell Technologies,Jakarta Pusat,2,Jakarta Pusat,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/dell-technologies/laptop-dell-latitude-3320-core-i7-1165g7-8gb-512gb-uma-windows-11-pro-3-years-warranty-dell-official-1731066655638979690?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D202606170422296DA37DD3139AA4220DCQ%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2024/10/24/510c38f6-a2fd-4c4c-9a77-db607b97eac5.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673749&x-signature=1YKl1zAlV5T20Rl9jvblY3mZfsg%3D&x-signature-webp=yFN5sE2bCU90BGaf9iptM8SP19Q%3D
Laptop Dell Note Book Inspiron 15 3000 series 3501 - i5 - 8GB - 512 Gb,Rp13.255.801,13255801,,0,5.0,,technosify,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/technosify/laptop-dell-note-book-inspiron-15-3000-series-3501-i5-8gb-512-gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D202606170422296DA37DD3139AA4220DCQ%26src%3Dsearch,https://p19-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2023/6/21/1f4a4da9-8fe7-461a-80e1-98d23587cd55.png~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673749&x-signature=A7qbgo7fCAVreyqCBAnjgsh3L8Q%3D&x-signature-webp=FRpl8O74OOt7EeK6h7I6fy6nftE%3D
Laptop Dell Notebook Inspiron 13 5301 - i3 - 256 GB SSD - WIN,Rp13.185.000,13185000,,0,5.0,,technosify,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/technosify/laptop-dell-notebook-inspiron-13-5301-i3-256-gb-ssd-win-256-gb-b97fb?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D202606170422296DA37DD3139AA4220DCQ%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2021/7/11/026e1458-9f0f-4afe-b612-412702230f83.png~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673749&x-signature=BSuAWuG4qyOvARxUJYRcRp9OGcE%3D&x-signature-webp=VyjDxCtwSO2WeSRByPe1fevTnhI%3D
Laptop Dell Notebook Inspiron 15 5405 - Ryzen 7 - 512 GB SSD - WIN,Rp13.116.463,13116463,Rp13.684.000,0,5.0,,technosify,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/technosify/laptop-dell-notebook-inspiron-15-5405-ryzen-7-512-gb-ssd-win?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D202606170422296DA37DD3139AA4220DCQ%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2021/7/11/98676653-a273-429e-a155-7049083e7ba4.png~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673749&x-signature=17owsS89i2WH9GiaDRLuv3kW6Io%3D&x-signature-webp=KebBAry%2BQ6ZyuEWmstoTnuI624I%3D
Laptop Dell Notebook Inspiron 15 5502 - i5 - 512 - 8 GB - WIN - nVidia,Rp14.381.215,14381215,Rp16.668.000,0,5.0,,technosify,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/technosify/laptop-dell-notebook-inspiron-15-5502-i5-512-8-gb-win-nvidia?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D202606170422296DA37DD3139AA4220DCQ%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2021/7/27/050cc738-b777-41df-8edb-8e44f5310605.png~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673749&x-signature=LkX8TviYLBHXd9kJN9fmyAtayRo%3D&x-signature-webp=BgPt3DERli%2FkqBpaTs1Yeo8TOPc%3D
Laptop Dell Notebook Inspiron 15 3501 - i5 - 512 GB SSD - VGA - WIN,Rp12.408.906,12408906,,0,5.0,,technosify,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/technosify/laptop-dell-notebook-inspiron-15-3501-i5-512-gb-ssd-vga-win-8gb-512gb-ssd?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D202606170422296DA37DD3139AA4220DCQ%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2021/7/11/4363f9aa-2c01-4233-b3a6-ba2d7ea669b9.png~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673749&x-signature=lRvau5j3APkps80VHcG%2FzgnJ%2BII%3D&x-signature-webp=E%2BaK%2BUyR7%2BWNNfC3%2FPfmvw%2BXBKc%3D
Laptop Dell Notebook Inspiron 15 5502 - i5 - 512 GB SSD - 8 GB - WIN,Rp13.684.531,13684531,Rp16.041.000,0,4.8,,technosify,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/technosify/laptop-dell-notebook-inspiron-15-5502-i5-512-gb-ssd-8-gb-win?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D202606170422296DA37DD3139AA4220DCQ%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2021/7/11/ce326f01-bbe6-4f15-a8d5-5de90143b012.png~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673749&x-signature=kFYOKQACwbskVeaOru7klUYxNm0%3D&x-signature-webp=ZKzokfOlHS9hXzgCL7Ofmj53PLI%3D
Laptop Dell Notebook Inspiron 15 3501 - i5 - 1TB HDD - VGA - WIN,Rp10.023.183,10023183,Rp12.407.000,0,,,technosify,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/technosify/laptop-dell-notebook-inspiron-15-3501-i5-1tb-hdd-vga-win?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D202606170422296DA37DD3139AA4220DCQ%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2021/7/11/6c400961-4903-4f3a-8d63-136024d14411.png~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673749&x-signature=fzFM6ky4u3Zmv3daCzERveDSy1s%3D&x-signature-webp=nTafaZSvkfYpMOYNhG5V7y4dc3I%3D
Laptop Notebook Dell Inspiron 5515 - R5 - 256 - 8 - Win - OHS,Rp12.674.873,12674873,Rp18.076.000,0,,,technosify,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/technosify/laptop-notebook-dell-inspiron-5515-r5-256-8-win-ohs?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D202606170422296DA37DD3139AA4220DCQ%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2022/1/30/63f19865-3f25-4d8d-bc5e-92f81ae476cb.png~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673749&x-signature=XYD3n0xtb%2BKzjYgVnGRD%2FP%2FysAU%3D&x-signature-webp=%2Bq9mddShd47vYHDCNh5O1OUi30g%3D
Laptop Notebook Dell Inspiron 15 5415 - Ryzen 5 - 256 Gb - 8Gb DDR4 - Windows 10SL,Rp12.612.707,12612707,Rp14.507.000,0,,,technosify,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/technosify/laptop-notebook-dell-inspiron-15-5415-ryzen-5-256-gb-8gb-ddr4-windows-10sl-1730833203847267751?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D202606170422296DA37DD3139AA4220DCQ%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2021/9/24/8ba56055-e66b-4e61-9604-5e3cd8c050b2.png~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673749&x-signature=Taf%2BM1IC%2B8pFaZHTfIePHcPe%2FKw%3D&x-signature-webp=amLl4FwZ7UDj0a%2Bc7d9UffdABnM%3D
Laptop Notebook Dell Inspiron 15 5570 - i5 - 256 Gb - 8 - Win,Rp13.062.873,13062873,Rp18.214.000,0,,,technosify,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/technosify/laptop-notebook-dell-inspiron-15-5570-i5-256-gb-8-win?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D202606170422296DA37DD3139AA4220DCQ%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2021/9/24/2fd6dd5c-63e4-4ac6-9e04-3a586bde7b09.png~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673749&x-signature=zkZH1FVYIpsx6L1EduYmMpAdxYY%3D&x-signature-webp=kr8ba%2F54Ge7F9u0QJ%2Bgy5o%2Fxfjo%3D
Laptop Dell Notebook Inspiron 15 5505 - Ryzen 7 - 512 GB SSD - WIN,Rp13.577.349,13577349,Rp15.930.000,0,,,technosify,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/technosify/laptop-dell-notebook-inspiron-15-5505-ryzen-7-512-gb-ssd-win?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D202606170422296DA37DD3139AA4220DCQ%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2021/7/11/83daf53f-99b1-471b-a280-d922136d3de4.png~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673749&x-signature=NVpxYZlgzBzk8yciIhvmOnPuWaw%3D&x-signature-webp=CRkl8lfCi0KydZLtRspgiCoyAVw%3D
Notebook Laptop Dell Vostro 14 3405 - Ryzen 5 - 512 Gb - 8 - Win - OHS,Rp11.183.966,11183966,Rp13.435.000,0,,,technosify,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/technosify/notebook-laptop-dell-vostro-14-3405-ryzen-5-512-gb-8-win-ohs?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D202606170422296DA37DD3139AA4220DCQ%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2021/9/27/576b7752-147e-4062-8dca-e9f45a85b70c.png~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673749&x-signature=JE358cW0j8tgNIZZpL56siUFX%2Fo%3D&x-signature-webp=Mn5lx7tq0kxrscJfdh15YGfdy8c%3D
"Dell Inspiron 3511 Laptop i5 1135G7 512GB SSD 4GB DDR4 Intel Iris Xe/8GB DDR4 NVIDIA GeForce MX350 15.6"" FHD Windows 11 SL + Office 2021 - 1 Year Warranty",Rp10.576.244,10576244,Rp12.870.000,0,,,technosify,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/technosify/dell-inspiron-3511-laptop-i5-1135g7-512gb-ssd-4gb-ddr4-intel-iris-xe-8gb-ddr4-nvidia-geforce-mx350-15-6-fhd-windows-11-sl-office-2021-1-year-warranty-1734201027542091175?extParam=ivf%3Dfalse%26keyword%3Dlaptop+dell%26search_id%3D202606170422296DA37DD3139AA4220DCQ%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/dd16cdcdb6f547b9b2e1f3a9f6053bb0~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673749&x-signature=i%2BYOeSUGOn0arORGOjK%2FvB2M%2BAE%3D&x-signature-webp=6Y3oNfiYALNQPyM4nUUgbC4V22c%3D
