nama_produk,harga,harga_angka,harga_asli,diskon_persen,rating,terjual,nama_toko,kota,tier_toko,badge,kategori,gratis_ongkir,cashback,is_iklan,url,image_url
Laptop Lenovo Ideapad Slim 3 14 AMD Ryzen 5 7535HS RAM 16GB 512GB SSD W11+OHS+M365B 14.0WUXGA IPS 2Y PREM+2ADP,Rp11.049.000,11049000,Rp16.999.000,0,5.0,,royalltech,Jakarta Utara,2,Jakarta Utara,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/royalltech/laptop-lenovo-ideapad-slim-3-14-ryzen-3-7320-8gb-512gb-w11-ohs-14-fhd-1733399540251657719?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D202606170418369DE6D14FFF9806239SN6%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/5bc789662925408db3a2ab5526dab51e~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673516&x-signature=W61ZrCQOC1SgMPwnNNIewfX4PG8%3D&x-signature-webp=NMN%2B2B%2F31BMTdbJ8boXBdfHvZik%3D
"Laptop Lenovo Ideapad Slim 3 14 AMD Ryzen 7 7735HS RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA IPS",Rp14.919.000,14919000,Rp28.000.000,0,5.0,,Gamer ID Surabaya,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/gameridsurabaya/laptop-lenovo-ideapad-slim-3-14-amd-ryzen-7-7735hs-ram-16-gb-ssd-512-gb-windows-11-office-home-student-14-wuxga-ips-1733430915705440211?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D202606170418369DE6D14FFF9806239SN6%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/2b173f5fc37543739c35501b464ab9e7~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673516&x-signature=B58mjx%2Bga41Y1%2Fe49w5Y64dIW98%3D&x-signature-webp=3%2FXQ7ZlMSOQT2msUMzxUNlhBMWM%3D
"Laptop LENOVO IdeaPad 5 2in1 14 Touch Ryzen AI 7 350 16GB 1TB W11+OHS 14"" FHD IPS Laptop Convertible Laptop 2IN1",Rp14.269.000,14269000,Rp16.999.000,0,4.7,,royalltech,Jakarta Utara,2,Jakarta Utara,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/royalltech/laptop-lenovo-ideapad-5-2in1-14-touch-ryzen-ai-7-350-16gb-1tb-w11-ohs-14-fhd-ips-laptop-convertible-laptop-2in1-1733282836276479479?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D202606170418369DE6D14FFF9806239SN6%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/f1e61f0512b74ee6a2bf2d39a8f6f64e~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673516&x-signature=REQwQrW7s8HDjCNPkWoaCzuJRz4%3D&x-signature-webp=8Tzx4af2iHt98%2F1kphqjWRvZ4fY%3D
Laptop Lenovo Ideapad 5 2in1 14 Touch Ryzen Ai 7 350 Ram 16Gb 1Tb Ssd Win 11 Ori 14.0 Full HD Ips,Rp13.319.000,13319000,,0,5.0,,Herlinacom,Depok,2,Depok,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/herlinacom/laptop-lenovo-ideapad-5-2in1-14-touch-ryzen-ai-7-350-ram-16gb-1tb-ssd-win-11-ori-14-0-full-hd-ips-1732899256604132750-1735738186462037390?extParam=ivf%3Dtrue%26keyword%3Dlaptop+lenovo%26search_id%3D202606170418369DE6D14FFF9806239SN6%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/1529342a04f54df19b07542844880106~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673516&x-signature=RcZkHOJfpU7oWG9WDEM%2Bd1%2FFQg8%3D&x-signature-webp=QxpOuf1aqRe%2BiIrmdphB7rV%2BWG0%3D
Laptop Lenovo Ideapad Slim 3 14 I7 13620H 16GB 512GB W11+OHS+M365B 14.0WUXGA IPS 2Y PREM+2ADP,Rp14.599.000,14599000,,0,5.0,,LEGEND.ELTRO.ID,Tangerang Selatan,2,Tangerang Selatan,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/legendeltro-id/laptop-lenovo-ideapad-slim-3-14-i7-13620h-16gb-512gb-w11-ohs-m365b-14-0wuxga-ips-2y-prem-2adp-1732567705166316593?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D202606170418369DE6D14FFF9806239SN6%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/f758e8333d9f4e029a90e2b2f06fc3ab~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673516&x-signature=9bH1GlMp1mXK4Y%2FkiVueUbT73G8%3D&x-signature-webp=MepCWNpiNfLoz0lPhyOAweDjAs4%3D
[PICK UP ONLY] Lenovo IdeaPad Slim 3i 14IRH10 Core i5 13420H 16GB 512SSD Windows 11 Office 14 Inch IPS Laptop - BWID,Rp10.359.000,10359000,Rp17.199.000,0,5.0,,Thinkpad Official Store,Jakarta Utara,2,Jakarta Utara,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/thinkpadofficial/lenovo-ideapad-slim-3i-14irh10-core-i5-13420h-16gb-512ssd-windows-11-office-14-inch-ips-laptop-7eid-1733131703789520266?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D202606170418369DE6D14FFF9806239SN6%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/8913a1f233da4799a365415220a4a466~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673516&x-signature=AYB4FjdPuKOSauBhaOk34ChIwXQ%3D&x-signature-webp=nimPC8GS1P9XPtivJ7T%2Fq4q9a7M%3D
LAPTOP LENOVO IDEAPAD SLIM 3 14ARP10 AMD RYZEN 7 7735HS 16GB 1TB SSD 14.0 WUXGA IPS W11 OHS,Rp14.919.000,14919000,Rp17.000.000,0,5.0,,ALIENWARE GAMING STORE,Jakarta Utara,2,Jakarta Utara,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/alienwarestore/laptop-lenovo-ideapad-slim-3-14arp10-amd-ryzen-7-7735hs-16gb-1tb-ssd-14-0-wuxga-ips-w11-ohs-1730089072901391704?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D202606170418369DE6D14FFF9806239SN6%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/329e08665ddf4d798e0ec873d8d007c8~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673516&x-signature=SDtkzFfb0aia2YEJmMWg3cQ%2Fucs%3D&x-signature-webp=6l0urLmYW3cTlJXFcKL2PGQMco8%3D
LENOVO Laptop V14 ALC / Ryzen 7 / 8GB / 512GB [82KC007KID],Rp10.958.000,10958000,Rp12.699.000,0,5.0,,GROSIRIA.ID,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/amtechgrosiria/lenovo-laptop-v14-alc-ryzen-7-8gb-512gb-82kc007kid?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D202606170418369DE6D14FFF9806239SN6%26src%3Dsearch,https://p19-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/57180c8eb7274876aaf5592a45ff5d75~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=97278606&x-expires=1781673516&x-signature=lgzjj9DlzSEgpEZxsR3QPhs7wGA%3D&x-signature-webp=lDyzPZEcG25Y15vSgEf%2BjYMwxPE%3D
"LAPTOP LENOVO V14 G4 ATHLON 7120 8GB 256GB W11 14.0"" FHD",Rp10.999.000,10999000,,0,5.0,,AI Official Store,Jakarta Utara,2,Jakarta Utara,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/alienwareofficial/laptop-lenovo-v14-g4-athlon-7120-8gb-256gb-w11-14-0-fhd-1729990213306123539?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D202606170418369DE6D14FFF9806239SN6%26src%3Dsearch%26whid%3D1496513,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2023/10/20/90c559b9-d31f-4eb3-9a2e-dbace3afd87e.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673516&x-signature=PiSUZxqeK6%2BtIlRPZmh9L2oFKcY%3D&x-signature-webp=5VLMPGkhXLLBk6Pvs97MaLye0Eg%3D
LAPTOP LENOVO IDEAPAD SLIM 3 14 AMD RYZEN 5 7535HS 16GB 8GB 512GB W11+OHS+M365B 14.0WUXGA IPS GRY 2Y PREM+2ADP,Rp11.049.000,11049000,Rp16.999.000,0,5.0,,royalltech,Jakarta Utara,2,Jakarta Utara,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/royalltech/laptop-lenovo-ideapad-slim-3-14-amd-ryzen-5-7535hs-16gb-8gb-512gb-w11-ohs-m365b-14-0wuxga-ips-gry-2y-prem-2adp-1734199541551957495?extParam=ivf%3Dfalse%26keyword%3Dlaptop+lenovo%26search_id%3D202606170418369DE6D14FFF9806239SN6%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/1c2e90ec4c604d76b7fe05402ad11b54~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673516&x-signature=QH32VK%2FUdf8LP8DWQFYsUEq6n0c%3D&x-signature-webp=R20%2FbNEDqC%2BL%2FdW5s9VhToPWBf4%3D
