nama_produk,harga,harga_angka,harga_asli,diskon_persen,rating,terjual,nama_toko,kota,tier_toko,badge,kategori,gratis_ongkir,cashback,is_iklan,url,image_url
"BenQ MA270UP 27” 4K 3840x2160 Nano Gloss Monitor for MacBook, Dual USB-C 90W/15W, Mac Color Match, USB Hub, Brightness & Volume Control on Mac, Height & Tilt Adjustable Stand, P3 Color Gamut",Rp10.824.000,10824000,Rp12.999.000,0,5.0,,BenQ Official Store,Jakarta Barat,2,Jakarta Barat,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/benqstore/benq-ma270up-27-4k-3840x2160-nano-gloss-monitor-for-macbook-dual-usb-c-90w-15w-mac-color-match-usb-hub-brightness-volume-control-on-mac-height-tilt-adjustable-stand-p3-color-gamut-1733167795812796239?extParam=ivf%3Dfalse%26keyword%3Dmacbook%26search_id%3D202606170406505737C6EC2E07160F31R5%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/7ccd652b83c649308cd6d3636b76aa63~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781672810&x-signature=2CpoINJgIExomoRvVMSzBj%2BihQM%3D&x-signature-webp=23vLWPadfe7LkGfOrzJixMythUU%3D
Apple MacBook Neo A18 Pro 512GB Touch ID - 256GB 1080p Ai Intelligence,Rp11.599.000,11599000,Rp16.999.000,0,5.0,,Vortexindo.Computer,Jakarta Pusat,2,Jakarta Pusat,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/vortexindocomputer/laptop-thinkbook-14-g8-ultra-5-225u-512gb-ssd-windows-11-home-office-home-2024-14-wuxga-300nits-2y-1729910067286017705-1735298380761564841?extParam=ivf%3Dtrue%26keyword%3Dmacbook%26search_id%3D202606170406505737C6EC2E07160F31R5%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/1c679d8b44a8475293d0f66c0c29a525~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781672810&x-signature=Gy%2B58Htl5bT06vrVWNus3e0ETyM%3D&x-signature-webp=j0%2F%2B6QJp7o%2BrxBy%2FrJpFQ7M0CkY%3D
( Exclusive Live ) Apple MacBook Neo A18 Pro 13Inch 8GB 256GB/512GB SSD macOS Garansi Resmi Indonesia,Rp11.500.000,11500000,Rp12.000.000,0,5.0,,STAR PONSEL_NEW,Jakarta Pusat,2,Jakarta Pusat,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/starponsel8/exclusive-805-gadget-apple-iphone-13-128gb-256gb-garansi-resmi-indonesia-1729711976228423107-1735728783858304451?extParam=ivf%3Dfalse%26keyword%3Dmacbook%26search_id%3D202606170406505737C6EC2E07160F31R5%26src%3Dsearch,https://p19-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/8b92577bc04549c4882f2401d127e1e7~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781672810&x-signature=zXGIczgz0DeIfAKgu%2BsJFH3wbig%3D&x-signature-webp=pbXvkp%2BtfCi18spPxN3sR074o2s%3D
"Apple Macbook Neo 2026 13"" A18 Pro chip 256GB / 512GB [ Ram 8GB ] Garansi Resmi iBox",Rp11.251.000,11251000,Rp14.999.000,0,5.0,,New RizkyApple,Jakarta Pusat,2,Jakarta Pusat,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/new-rizkyapple/apple-macbook-air-m2-2022-13-8c-cpu-10c-gpu-ram-8gb-512gb-1731189584795108478-1735578958460191870?extParam=ivf%3Dfalse%26keyword%3Dmacbook%26search_id%3D202606170406505737C6EC2E07160F31R5%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/206ffdfeb41f402c95e63d3de6db84c6~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781672810&x-signature=uPwvhksKbjLLf%2BQbNDSof6tZgOM%3D&x-signature-webp=ieKE%2B7XocqJu%2B6DwpHh1fA%2FtO3I%3D
"[ RESMI ] Apple Macbook Neo 2026 A18 Pro 13"" Inci RAM 8GB 512GB 256GB SSD Touch ID Liquid Retina Silver Citrus Indigo Blush",Rp11.251.000,11251000,Rp16.999.000,0,5.0,,Onestop Gaming,Jakarta Pusat,2,Jakarta Pusat,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/onestopgaming/bonus-pembelian-macbook-air-macbook-pro-1734378970864059650-1735033599297160450?extParam=ivf%3Dtrue%26keyword%3Dmacbook%26search_id%3D202606170406505737C6EC2E07160F31R5%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/c210f2c0d7a0489097e8827f5c4e6976~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781672810&x-signature=RBK0o4NMQVkJS1t0vLqV87VAJkU%3D&x-signature-webp=zyRY5m8HY3tj7zNJZydmlVsfMBg%3D
APPLE MACBOOK NEO 13 A18 PRO 6C CPU 8GB 256GB 13.0 GRS RSMI INDONESIA,Rp11.519.000,11519000,,0,5.0,,Artomoro Comp,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/artomoro-co/apple-macbook-neo-13-a18-pro-6c-cpu-8gb-256gb-13-0-grs-rsmi-indonesia-1735752968599930778-1735754306586838938?extParam=ivf%3Dfalse%26keyword%3Dmacbook%26search_id%3D202606170406505737C6EC2E07160F31R5%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/ec2a10242b67427fb409b86f970a5e20~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781672810&x-signature=si8JcbvSAQvnUjb82asjFUJ%2Fn2U%3D&x-signature-webp=1aF0hEN1BX8ERTm%2FM9kj14XY44I%3D
IBOX APPLE MACBOOK AIR / NEO 13 M5/M4/M3/M2/M1 10C GPU 16GB/24GB 512GB/1TB 10C CPU,Rp11.519.000,11519000,Rp19.798.900,0,5.0,,Gateway Indonesia Comp,Jakarta Utara,2,Jakarta Utara,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/gateway/apple-macbook-air-13-m3-10c-gpu-24gb-512gb-8c-cpu-13-6-inch-garansi-resmi-ibox-1729830188084397493-1735242708348208565?extParam=ivf%3Dfalse%26keyword%3Dmacbook%26search_id%3D202606170406505737C6EC2E07160F31R5%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/3b2841aee8ce490cbe80dff94fd22a3a~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781672810&x-signature=YgW1LoGBvgPpMWbvOg9jrWADiOk%3D&x-signature-webp=V3%2FTjYOBn2PzaW9ZvIAkFEp4%2FL4%3D
Apple MacBook Neo A18 Pro 13 Inch 2026 256GB 512GB,Rp11.199.000,11199000,,0,5.0,,New Digital Authorized,Jakarta Barat,2,Jakarta Barat,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/digitalauthorized/apple-macbook-neo-a18-pro-13-inch-2026-256gb-512gb-1734568841518548956?extParam=ivf%3Dfalse%26keyword%3Dmacbook%26search_id%3D202606170406505737C6EC2E07160F31R5%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/79aca6993c054c24bb085fd4a3ad8967~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781672810&x-signature=yuCcug0VDgoklmJ%2FDhizog6CQAw%3D&x-signature-webp=Y%2F4eP1FmvOzhqpYZ8dvBSYOSdJ4%3D
"APPLE MACBOOK NEO 13 A18 PRO 6C CPU 8GB 256GB/512GB 13"" TOUCH ID GRS RESMI INDONESIA",Rp11.519.000,11519000,Rp20.898.900,0,5.0,,Gateway Indonesia Comp,Jakarta Utara,2,Jakarta Utara,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/gateway/apple-macbook-neo-13-a18-pro-6c-cpu-8gb-256gb-512gb-13-touch-id-grs-resmi-indonesia-1735242904538940853-1735243010367260085?extParam=ivf%3Dfalse%26keyword%3Dmacbook%26search_id%3D202606170406505737C6EC2E07160F31R5%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/17dcfd09013847a69bd9e5cbd0f2d187~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781672810&x-signature=ISjm5c1o3wMb%2Bfw80VXSwVp0Y8w%3D&x-signature-webp=QEi3Klrt6%2FbJ3Vu3R8D2f66b2%2F8%3D
APPLE MACBOOK NEO 13 A18 PRO 6C CPU 8GB 512GB 13.0 TOUCH ID GRS RSMI INDONESIA,Rp13.949.000,13949000,,0,5.0,,Artomoro Comp,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/artomoro-co/apple-macbook-neo-13-a18-pro-6c-cpu-8gb-512gb-13-0-touch-id-grs-rsmi-indonesia-1735943335826327450-1735943517196879770?extParam=ivf%3Dfalse%26keyword%3Dmacbook%26search_id%3D202606170406505737C6EC2E07160F31R5%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/2771c908e7304c919c5e67691e85005c~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781672810&x-signature=9Rqqqj%2BMVQC2FYiNxg4YsoddIdw%3D&x-signature-webp=uRhKQTkF7xYiggqyPVs5EIPT1UQ%3D
