nama_produk,harga,harga_angka,harga_asli,diskon_persen,rating,terjual,nama_toko,kota,tier_toko,badge,kategori,gratis_ongkir,cashback,is_iklan,url,image_url
"MSI Laptop Modern 14 Intel i3 1315U 14"" FHD 8GB DDR4 512GB NVMe SSD Windows 11 Garansi Resmi 2 Tahun",Rp13.499.000,13499000,,0,5.0,,Ten Com,Jakarta Selatan,2,Jakarta Selatan,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/ten-com/msi-laptop-modern-14-intel-i3-1315u-14-fhd-8gb-ddr4-512gb-nvme-ssd-windows-11-garansi-resmi-2-tahun-1729897523591349511-1735250295093757191?extParam=ivf%3Dtrue%26keyword%3Dlaptop+msi%26search_id%3D202606170421033DD48AB31D016F1554ST%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/e2eed42e48c040f38cf88a367cce7cc4~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673663&x-signature=PkLFghu5Mli2rcbBcREretECVCE%3D&x-signature-webp=CV4XvF0PZqz9SmSRBe8pK6FhbH8%3D
Laptop MSI THIN A15 Ryzen 7 7735HS RTX3050 4GB Ram 16Gb Ssd 512Gb Win 11 Ori 15.6FHD IPS 144Hz,Rp13.839.000,13839000,,0,5.0,,Herlinacom,Depok,2,Depok,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/herlinacom/laptop-msi-thin-a15-ryzen-5-7535hs-rtx-2050-4gb-ram-16gb-512gb-win-11-office-ori-1735515550982505870?extParam=ivf%3Dtrue%26keyword%3Dlaptop+msi%26search_id%3D202606170421033DD48AB31D016F1554ST%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/0f51a3a03c42487297f5daaa05818cf2~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673663&x-signature=d%2BPsj1uw3jiJ8G3Bmul%2Be07hxPQ%3D&x-signature-webp=rgF8p1lRot9XSgUiqnXFNqrV3Xg%3D
Laptop Gaming MSI Thin 15 B13UC i5 13420H RTX3050 4GB RAM 8GB 512GB 144Hz W11 - Baru Resmi 2 Tahun,Rp12.848.000,12848000,,0,5.0,,allkomputer,Jakarta Pusat,2,Jakarta Pusat,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/allkomputejkt/msi-thin-15-b13uc-2409-intel-core-i5-13420h-rtx-3050-144hz-laptop-gaming-tipis-ringan-garansi-resmi-2th-1734062168366024456?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D202606170421033DD48AB31D016F1554ST%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2024/12/28/415d3566-cde5-4e7d-b192-6693da9a555a.png~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673663&x-signature=LEpkgnHUfPBN4x4CqfFqqLNhNbg%3D&x-signature-webp=1CoxjpqvPtoOLwlDBkH8MPNHpgQ%3D
MSI Modern 15 F1MG 475ID - Core 5 120U 512GB SSD 16GB RAM - Grey Notebook Laptop,Rp11.610.000,11610000,,0,5.0,,Gasol Maspion Square Surabaya,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/gasolsurabaya/msi-modern-15-f1mg-475id-core-5-120u-512gb-ssd-16gb-ram-grey-notebook-laptop-1732535912364476411?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D202606170421033DD48AB31D016F1554ST%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/97e8300679c84a6db8e7c1071994e189~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673663&x-signature=0iKYwARTlHNI535fnvZYhPv%2F97A%3D&x-signature-webp=W9PiFIJ5VhX3MmBBERC8dxSLctM%3D
LAPTOP MSI MODERN 14 INTEL CORE I5 1335 8GB 512GB W11 14.0FHD IPS Backlit Garansi Resmi,Rp10.139.000,10139000,Rp19.999.000,0,5.0,,royalltech,Jakarta Utara,2,Jakarta Utara,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/royalltech/laptop-msi-modern-14-intel-core-i5-1335-8gb-512gb-w11-14-0fhd-ips-backlit-garansi-resmi-1734411304562689527?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D202606170421033DD48AB31D016F1554ST%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/0a5c147f937b4102b8620e0239aba5cf~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673663&x-signature=EbCNulLO3yEotKeLd3UiD5CEL%2Bs%3D&x-signature-webp=w0hdsN%2ByeCykXdB3k3oWtIjiolU%3D
"Laptop Gaming MSI THIN 15 B12UC-3298 I7-12650H 16GB 512GB SSD NVIDIA GeForce RTX 3050 4GB 15.6"" Fhd Windows 11 Home",Rp11.599.000,11599000,,0,5.0,,Level99Store,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/level99id/laptop-gaming-msi-thin-15-b12uc-3298-i7-12650h-16gb-512gb-ssd-nvidia-geforce-rtx-3050-4gb-15-6-fhd-windows-11-home-1732907832798184525?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D202606170421033DD48AB31D016F1554ST%26src%3Dsearch,https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/f99dcb3dc2484a14bb9ec858fc108357~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=97278606&x-expires=1781673663&x-signature=9ub%2B%2Fk1gmW8DIsrwUm4Pvnu8wP8%3D&x-signature-webp=vu91jp5ze4x77xizcA847VzQqrg%3D
MSI Thin 15 RTX3050 Intel i5 13420H 16GB 512GB 15.6inch 144HZ Windows 11 Backlit Garansi Resmi - Laptop Gaming MSI,Rp13.479.000,13479000,,0,5.0,,Ten Com,Jakarta Selatan,2,Jakarta Selatan,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/ten-com/msi-thin-15-i5-13420h-rtx4050-6gb-16gb-512gb-w11-15-6fhd-144hz-backlit-laptop-intel-core-i5-12450h-nvidia-geforce-rtx-4050-garansi-resmi-2-tahun-1730112706821719303-1735884783140308231?extParam=ivf%3Dtrue%26keyword%3Dlaptop+msi%26search_id%3D202606170421033DD48AB31D016F1554ST%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/e50b35e3486b4271aeed7dd4e548c714~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673663&x-signature=jnqEq2Kycjvun93Qs%2B8b3m7X4MU%3D&x-signature-webp=DACl1pQbySAAyGRIho442B6WqUk%3D
MSI THIN 15 I7 12650H I5 12450H RTX3050 RTX2050 32GB 16GB 8GB 1TB 512GB SSD W11 15.6FHD 144HZ BLIT 2Y B12UCX B12UC - PROMO LAPTOP GAMING,Rp13.479.000,13479000,Rp17.999.000,0,5.0,,AI Official Store,Jakarta Utara,2,Jakarta Utara,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/alienwareofficial/msi-thin-15-i7-12650h-i5-12450h-rtx3050-rtx2050-32gb-16gb-8gb-1tb-512gb-ssd-w11-15-6fhd-144hz-blit-2y-b12ucx-b12uc-promo-laptop-gaming-1731978542461256979?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D202606170421033DD48AB31D016F1554ST%26src%3Dsearch%26whid%3D1496513,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/b4a22938d70e411faf9093c61f07a576~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673663&x-signature=EQHFfPRheUbpLXCx8DC3ZeUWl7Q%3D&x-signature-webp=yhl5kChTuD5ho%2BcZRfNuNNfmXLs%3D
LAPTOP MSI MODERN 14 INTEL I5 1334 8GB 512GB W11+OHS 14.0 FHD IPS BACKLIT 2Y -F13MG,Rp10.359.000,10359000,Rp12.999.000,0,5.0,,royalltech,Jakarta Utara,2,Jakarta Utara,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/royalltech/laptop-spc-style-5-ryzen-5-3500-8gb-256gb-w11-office-14-0fhd-ips-blit-1729909218111423991-1734684377631655415?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D202606170421033DD48AB31D016F1554ST%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/a2b356068f6044cf955bc82006df9a47~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673663&x-signature=tjdHFihYNrUM3YeWRmIwPxd8cBo%3D&x-signature-webp=eRdeba9HYP9Ve9yR4vpDVkzMmUk%3D
Laptop MSI Thin 15 Intel i5-13420H RTX3050 Ram 32GB/1TB SSD Windows 11 15.6” FHD 144Hz Laptop Gaming Garansi 2TH,Rp13.479.000,13479000,Rp17.999.000,0,4.8,,royalltech,Jakarta Utara,2,Jakarta Utara,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/royalltech/laptop-msi-thin-15-intel-i5-13420h-rtx3050-ram-32gb-1tb-ssd-windows-11-15-6-fhd-144hz-laptop-gaming-garansi-2th-1734411405445596663?extParam=ivf%3Dfalse%26keyword%3Dlaptop+msi%26search_id%3D202606170421033DD48AB31D016F1554ST%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/9c9fe58613944832bd589e8da431926d~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673663&x-signature=TSUiYZdpjcHUx0M55eliNUBwmwk%3D&x-signature-webp=POClfIPVh%2FAG7fu%2F%2B6Ld7dLcoIE%3D
